ds,the_magic_carpets_of_aladdin,a_pirates_adventure_treasures_of_the_seven_seas,astro_orbiter,dumbo_the_flying_elephant,date
10/5/2019 9:20,6.369486974,-0.059916831,20.50056177,12.26703477,10/5/2019
10/5/2019 10:20,15.60680488,-0.060591796,30.34401566,22.43266889,10/5/2019
10/5/2019 11:20,23.33624389,-0.060878011,37.13420272,31.45701934,10/5/2019
10/5/2019 12:20,26.62705203,-0.058088613,39.15776107,36.53025888,10/5/2019
10/5/2019 13:20,25.39595215,-0.051016969,37.44819327,37.313838,10/5/2019
10/5/2019 14:20,22.27490282,-0.041764886,34.65456867,35.74415752,10/5/2019
10/5/2019 15:20,20.36041321,-0.034834543,32.97996175,34.14168554,10/5/2019
10/5/2019 16:20,20.79033796,-0.033916407,32.87734052,33.3441399,10/5/2019
10/5/2019 17:20,22.15223752,-0.039014065,33.30711091,32.40567652,10/5/2019
10/5/2019 18:20,22.02299369,-0.046406148,32.94620454,29.87949849,10/5/2019
10/5/2019 19:20,19.09482637,-0.051500448,31.11910331,25.31322058,10/5/2019
10/5/2019 20:20,14.0306133,-0.052126956,27.82530686,19.59592283,10/5/2019
10/5/2019 21:20,8.562966229,-0.049553396,23.27878741,14.05710631,10/5/2019
10/6/2019 8:20,-2.977811404,-0.034310886,8.539526705,1.096725566,10/6/2019
10/6/2019 9:20,3.917168663,-0.03328673,17.67198031,8.437869237,10/6/2019
10/6/2019 10:20,12.99869161,-0.033676713,27.34997309,18.16860178,10/6/2019
10/6/2019 11:20,20.60205396,-0.033903958,34.0050207,26.80718968,10/6/2019
10/6/2019 12:20,23.79778755,-0.031286177,35.92468662,31.54723802,10/6/2019
10/6/2019 13:20,22.50352062,-0.024618875,34.1430313,32.05300344,10/6/2019
10/6/2019 14:20,19.35172921,-0.016003521,31.30931134,30.26303786,10/6/2019
10/6/2019 15:20,17.43904727,-0.009939463,29.62641916,28.49928448,10/6/2019
10/6/2019 16:20,17.90306163,-0.010111861,29.54677724,27.60024762,10/6/2019
10/6/2019 17:20,19.33067731,-0.016516567,30.02989269,26.62017665,10/6/2019
10/6/2019 18:20,19.29774284,-0.025422118,29.75145959,24.11167924,10/6/2019
10/6/2019 19:20,16.49508133,-0.032223956,28.03440196,19.62109821,10/6/2019
10/6/2019 20:20,11.58382907,-0.034737599,24.87636368,14.03558558,10/6/2019
10/6/2019 21:20,6.294534826,-0.03421432,20.48918907,8.682086775,10/6/2019
10/7/2019 8:20,-2.424276977,-0.04623241,8.276712852,0.072698538,10/7/2019
10/7/2019 9:20,4.721164503,-0.047506682,17.63227941,7.880424768,10/7/2019
10/7/2019 10:20,14.03827581,-0.050066222,27.52020901,18.06478145,10/7/2019
10/7/2019 11:20,21.85962514,-0.052314589,34.36977692,27.13869016,10/7/2019
10/7/2019 12:20,25.25326103,-0.05155157,36.46655395,32.29072384,10/7/2019
10/7/2019 13:20,24.13460361,-0.04655658,34.84287855,33.18047961,10/7/2019
10/7/2019 14:20,21.13422242,-0.039417,32.14657512,31.7422772,10/7/2019
10/7/2019 15:20,19.34716902,-0.034620245,30.57940902,30.29430395,10/7/2019
10/7/2019 16:20,19.90979046,-0.035841815,30.59299206,29.67182725,10/7/2019
10/7/2019 17:20,21.40810844,-0.043070278,31.1463441,28.9264143,10/7/2019
10/7/2019 18:20,21.41745403,-0.052569328,30.91499818,26.60857379,10/7/2019
10/7/2019 19:20,18.62850344,-0.059732042,29.22204196,22.26315368,10/7/2019
10/7/2019 20:20,13.70261659,-0.062374067,26.06560193,16.77642828,10/7/2019
10/7/2019 21:20,8.370931609,-0.061749275,21.65831402,11.47508755,10/7/2019
10/8/2019 8:20,-2.160864454,-0.0604224,8.268363273,0.865009894,10/8/2019
10/8/2019 9:20,4.763009231,-0.059797336,17.48856279,8.345596978,10/8/2019
10/8/2019 10:20,13.86208213,-0.060431078,27.24722674,18.19832003,10/8/2019
10/8/2019 11:20,21.47198248,-0.060748887,33.97600109,26.94114824,10/8/2019
10/8/2019 12:20,24.66371546,-0.058071895,35.96268706,31.76764425,10/8/2019
10/8/2019 13:20,23.35551564,-0.051200263,34.24168186,32.34226977,10/8/2019
10/8/2019 14:20,20.18058805,-0.042241275,31.46266832,30.60401871,10/8/2019
10/8/2019 15:20,18.23640638,-0.035701183,29.82904368,28.87549966,10/8/2019
10/8/2019 16:20,18.66149479,-0.03527305,29.79380221,27.99608942,10/8/2019
10/8/2019 17:20,20.0437787,-0.040961531,30.31707708,27.02109813,10/8/2019
10/8/2019 18:20,19.96019473,-0.049044765,30.07522961,24.50436144,10/8/2019
10/8/2019 19:20,17.10270547,-0.054928477,28.39187866,19.99359441,10/8/2019
10/8/2019 20:20,12.13362139,-0.056439035,25.26537665,14.37744104,10/8/2019
